word,variant,kind,gated,passed,score,min_score,operation_groups,operation_landmarks,operation_types,changed_visible_points,total_selected_points,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,,,,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,剥离基础组后重建 motion/relation 特征，应保持近满分。
花,flower_left_hand_shift_large,positive,True,True,100.0,70.0,left_hand,,shift,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,花的左手不是当前核心绽放手，大幅静态偏移不应拖低右手开花语义。
花,flower_left_hand_jitter_0.18,positive,True,True,100.0,70.0,left_hand,,jitter,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,非核心左手 landmark 大幅抖动，模拟另一只手在画面内干扰。
花,flower_left_hand_motion_drift,positive,True,True,100.0,70.0,left_hand,,motion_drift,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,非核心左手出现连续漂移运动，不应遮蔽右手绽放主语义。
花,flower_left_hand_shape_scramble,positive,True,True,100.0,70.0,left_hand,,scramble,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,非核心左手手形结构异常，应被低权重路径吸收而不是拉低清晰右手动作。
花,flower_right_opening_tips_collapse_diagnostic,diagnostic,False,True,25.93782858833015,,right_hand,"4,8,12,16,20",collapse_to_wrist,200,200,53,full_sequence_with_action_window_diagnostics,semantic_mismatch,flower_opening_guard_failed,short_visible_core,query_not_short_core_capture,诊断记录：右手绽放指尖塌缩会触发 opening guard 或显著低分。
跳,self_recomputed,positive,True,True,100.0,95.0,,,,0,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,剥离基础组后重建 motion/relation 特征，应保持近满分。
跳,jump_right_noncore_fingers_jitter_0.12,positive,True,True,82.3015873015873,70.0,right_hand,"1,2,3,4,13,14,15,16,17,18,19,20",jitter,204,204,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手食指/中指小人保持稳定时，拇指/无名指/小指抖动不应破坏评分。
跳,jump_right_noncore_fingers_shift,positive,True,True,82.3015873015873,70.0,right_hand,"1,2,3,4,13,14,15,16,17,18,19,20",shift,204,204,19,semantic_action_window,score_valid,score_valid,action_window_net,used,非语义手指整体偏移，模拟用户自然蜷曲或张开无关手指。
跳,jump_right_noncore_fingers_motion_drift,positive,True,True,73.03202084653721,70.0,right_hand,"1,2,3,4,13,14,15,16,17,18,19,20",motion_drift,204,204,19,semantic_action_window,score_valid,score_valid,action_window_net,used,非语义手指连续漂移，核心两指小人和左手地面仍应保持可评分。
跳,jump_right_noncore_fingers_scramble,positive,True,True,82.3015873015873,70.0,right_hand,"1,2,3,4,13,14,15,16,17,18,19,20",scramble,204,204,19,semantic_action_window,score_valid,score_valid,action_window_net,used,非语义手指局部顺序异常，不能盖过右手食指/中指与左手地面的核心关系。
跳,jump_right_index_middle_collapse_diagnostic,diagnostic,False,True,81.46045189380769,,right_hand,"5,6,7,8,9,10,11,12",collapse_to_wrist,136,136,19,semantic_action_window,score_valid,score_valid,action_window_net,used,诊断记录：右手食指/中指结构破坏的当前边界；硬负例由遮挡/裁切/相位门覆盖。
