word,variant,kind,passed,score,min_score,max_score,query_length,standard_length,length_ratio,rate_ratio,alignment_policy,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,same_count_front_slow_back_fast,positive,False,45.0,70.0,,53,53,1.0,,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",semantic_mismatch,phase_order_disorder,short_visible_core,phase_order_disorder,同样帧数内前段慢、后段快，完整语义相位仍在。
花,same_count_front_fast_back_slow,positive,True,95.4059293003099,70.0,,53,53,1.0,,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,同样帧数内前段快、后段慢，完整语义相位仍在。
花,same_count_core_slow,positive,True,97.41124883650686,70.0,,53,53,1.0,,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,同样帧数内核心动作被采得更密，起止顺序不变。
花,same_count_core_fast,positive,True,92.88280798202872,70.0,,53,53,1.0,,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,同样帧数内核心动作被采得更稀，仍保留核心过程。
花,same_count_micro_rate_jitter,positive,False,62.56016332935128,70.0,,53,53,1.0,,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,浏览器采样间隔轻微不均匀，但时间顺序单调。
花,global_fast_0.75x,positive,True,97.81797718721772,70.0,,40,53,0.7547169811320755,0.75,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,用户动作整体更快，保留约 75% 帧数并重建运动特征。
花,global_slow_1.50x,positive,True,97.37631993772484,70.0,,80,53,1.509433962264151,1.5,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,用户动作整体更慢，约 1.5 倍采样帧并重建运动特征。
花,bloom_core_hold_2x,positive,True,96.55654522307476,70.0,,73,53,1.3773584905660377,1.35,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心阶段停留更久，但撮合到绽放过程完整。
花,global_fast_0.50x_diagnostic,diagnostic,True,95.54400174565542,,,26,53,0.49056603773584906,0.5,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,极快采样只保留约半数帧，作为欠采样边界诊断。
花,global_slow_2.25x_diagnostic,diagnostic,True,99.58845413490457,,,119,53,2.2452830188679247,2.25,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,极慢动作或高频重复采样，作为过采样边界诊断。
