case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,28,100.0,0.0,0.0
subsample_even,target_positive_variant,high,14,58.372237308319406,0.043278545198736085,0.06459957572916583
trim_start_20pct,target_positive_variant,high,22,86.09021607174245,0.001036020693353487,0.01864634330897917
trim_end_20pct,target_positive_variant,high,22,87.90292580201077,0.0018296242526332678,0.01666170731736444
trim_both_10pct,target_positive_variant,high,22,87.93082715538003,0.002329734498612983,0.016948695703976363
amplitude_0.85,target_positive_variant,high,28,91.18424112398851,0.00034238921262816753,0.011297124812004743
amplitude_1.15,target_positive_variant,high,28,92.26374118088367,0.0002938013500167557,0.009853245869904163
fake_reverse_time,synthetic_fake_action,low,28,11.475759714395164,0.06429854757246112,0.2597919871422597
fake_shuffle_frames,synthetic_fake_action,low,28,16.391732059635082,0.05490767336705085,0.21700717451829327
fake_static_hold,synthetic_fake_action,low,28,0.3361017685888285,0.09439574580635723,0.683461376179426
fake_random_landmarks,synthetic_fake_action,low,28,0.0035074269678518704,0.4160625814243381,1.2309651304683134
fake_random_walk,synthetic_fake_action,low,28,2.2082207399120335e-05,0.8462273996560131,1.8391090265705003
other_demo_唱歌,other_demo_action,low,27,1.5040354599736767,0.18816921103949005,0.5036422060353866
other_demo_指示,other_demo_action,low,30,1.6883231009848492,0.24614675387549004,0.48977212771139245
other_demo_月亮,other_demo_action,low,47,12.479338683357922,0.12971679094241345,0.24973149774796638
other_demo_汽车,other_demo_action,low,44,13.629030174467246,0.06318809560512292,0.23915617158664165
other_demo_花,other_demo_action,low,53,17.572766350053605,0.10053818358220568,0.20865838185913502
other_demo_虎,other_demo_action,low,54,3.7435595493772422,0.21825320901608636,0.3942159931223088
other_demo_谗_羡慕,other_demo_action,low,32,11.352565240581656,0.12044342049397636,0.2610871746253899
other_demo_跳,other_demo_action,low,19,9.474679879557192,0.1343815884728928,0.2827856665666881
other_demo_香蕉,other_demo_action,low,42,16.312194600068604,0.11029526639532822,0.21759086674983716
