word,variant,kind,gated,passed,score,min_score,dtw_distance,normalized_distance,query_length,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self,positive,True,True,100.0,95.0,0.0,0.0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,同一骨架重算基线。
花,camera_grid_640x480,positive,True,True,81.36140772280007,70.0,0.028686911251157427,0.02990902414046019,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,常见网页摄像头/上传路径的 640x480 像素网格取整。
花,camera_grid_320x240,positive,True,True,81.25683840941971,70.0,0.028691707643304483,0.030095504475732077,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,较低分辨率或强压缩后的 320x240 网格取整。
花,normalized_xy_quantize_1_512,positive,True,True,81.42761440000447,70.0,0.028677008637682123,0.029791080453610147,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,归一化 x/y 坐标约 1/512 精度。
花,normalized_xy_quantize_1_256,positive,True,True,81.18317889503577,70.0,0.028713767671385768,0.030227006928083014,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,归一化 x/y 坐标约 1/256 精度。
花,hand_xy_quantize_1_128,positive,True,True,80.80519258829806,70.0,0.028766364914018287,0.030903698883794194,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,只对手部做较粗 x/y 量化，并重算 hand-shape。
花,xyz_quantize_1_256_offset_half,positive,True,True,81.16815602819096,70.0,0.028696534520739593,0.030253841517398135,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,x/y/z 同时按 1/256 网格量化，网格原点偏半格。
花,coarse_camera_grid_160x120_diagnostic,diagnostic,False,True,81.0415622581573,,0.02871981033390037,0.03048016704925348,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,过低分辨率网格，只记录诊断边界。
花,coarse_xy_quantize_1_64_diagnostic,diagnostic,False,True,79.86597137832321,,0.028974172522182207,0.03259894553963527,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,过粗归一化 x/y 量化，只记录诊断边界。
花,severe_hand_xy_quantize_1_32_diagnostic,diagnostic,False,True,78.0748753904513,,0.029510839274321198,0.03588777243236567,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,手部核心坐标严重量化，会破坏手形细节，只记录诊断边界。
跳,self,positive,True,True,100.0,95.0,0.0,0.0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,同一骨架重算基线。
跳,camera_grid_640x480,positive,True,True,99.2140192698745,70.0,0.0016533578872911117,0.0019177983362818724,19,semantic_action_window,score_valid,score_valid,action_window_net,used,常见网页摄像头/上传路径的 640x480 像素网格取整。
跳,camera_grid_320x240,positive,True,True,98.5397656378664,70.0,0.003285661604588829,0.003646352567228933,19,semantic_action_window,score_valid,score_valid,action_window_net,used,较低分辨率或强压缩后的 320x240 网格取整。
跳,normalized_xy_quantize_1_512,positive,True,True,99.21515608647766,70.0,0.0017260965966279104,0.0019413123703458212,19,semantic_action_window,score_valid,score_valid,action_window_net,used,归一化 x/y 坐标约 1/512 精度。
跳,normalized_xy_quantize_1_256,positive,True,True,98.49121907635117,70.0,0.003123690237911675,0.0036732902971210075,19,semantic_action_window,score_valid,score_valid,action_window_net,used,归一化 x/y 坐标约 1/256 精度。
跳,hand_xy_quantize_1_128,positive,True,True,96.83294063985286,70.0,0.006778894039369935,0.007834241270302394,19,semantic_action_window,score_valid,score_valid,action_window_net,used,只对手部做较粗 x/y 量化，并重算 hand-shape。
跳,xyz_quantize_1_256_offset_half,positive,True,True,98.27321374731888,70.0,0.003642994528935593,0.0042310979558480245,19,semantic_action_window,score_valid,score_valid,action_window_net,used,x/y/z 同时按 1/256 网格量化，网格原点偏半格。
跳,coarse_camera_grid_160x120_diagnostic,diagnostic,False,True,97.25271703556506,,0.006152081680342263,0.006880763260722123,19,semantic_action_window,score_valid,score_valid,action_window_net,used,过低分辨率网格，只记录诊断边界。
跳,coarse_xy_quantize_1_64_diagnostic,diagnostic,False,True,92.47023263665068,,0.014443943259043177,0.018340514099684645,19,semantic_action_window,score_valid,score_valid,action_window_net,used,过粗归一化 x/y 量化，只记录诊断边界。
跳,severe_hand_xy_quantize_1_32_diagnostic,diagnostic,False,True,84.26719977020728,,0.030074015110836586,0.03957568796449822,19,semantic_action_window,score_valid,score_valid,action_window_net,used,手部核心坐标严重量化，会破坏手形细节，只记录诊断边界。
