word,variant,kind,gated,passed,score,min_score,groups,pattern,interpolated_frame_count,changed_frame_count,changed_visible_points,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,"left_hand,right_hand",none,0,0,0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,right_hand_single_mid_interp,positive,True,True,99.61392443276547,70.0,right_hand,single_mid,1,1,21,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手单帧轨迹被前后帧线性插值，模拟 tracker 短补洞。
花,right_hand_sparse_interp_every_6th,positive,True,True,96.27112307550398,70.0,right_hand,sparse_every_6th,9,7,147,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手稀疏帧被线性插值，短时开合证据仍应保留。
花,right_hand_middle12_interp,positive,True,True,93.73057009611107,70.0,right_hand,middle_12pct,7,7,147,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心段约 12% 手部轨迹线性化，作为正常短补洞正向门。
花,both_hands_middle12_interp,positive,True,True,93.73057009611107,70.0,"left_hand,right_hand",middle_12pct,7,7,147,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手约 12% 轨迹线性化，验证非核心手同时受平滑影响仍可评分。
花,right_hand_middle18_interp_diagnostic,diagnostic,False,True,92.21508368510756,,right_hand,middle_18pct,9,9,189,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心段约 18% 轨迹线性化偏强，只记录诊断边界。
花,right_hand_middle25_interp_diagnostic,diagnostic,False,True,74.44508851452686,,right_hand,middle_25pct,13,13,273,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心段约 25% 轨迹线性化属于强边界，只作诊断。
跳,self_recomputed,positive,True,True,100.0,95.0,"left_hand,right_hand",none,0,0,0,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,right_hand_single_mid_interp,positive,True,True,96.49408903705907,70.0,right_hand,single_mid,1,1,21,semantic_action_window,score_valid,score_valid,action_window_net,used,右手两指小人单帧轨迹补洞，双手关系仍应可评分。
跳,left_hand_single_mid_interp,positive,True,True,97.61123758883318,70.0,left_hand,single_mid,1,1,21,semantic_action_window,score_valid,score_valid,action_window_net,used,左手地面单帧轨迹补洞，不应导致跳跃关系失败。
跳,right_hand_sparse_interp_every_6th,positive,True,True,94.30490048805738,70.0,right_hand,sparse_every_6th,3,3,63,semantic_action_window,score_valid,score_valid,action_window_net,used,右手稀疏帧线性补洞，弹跳主方向仍应保留。
跳,left_hand_sparse_interp_every_6th,positive,True,True,97.60725487598395,70.0,left_hand,sparse_every_6th,3,2,42,semantic_action_window,score_valid,score_valid,action_window_net,used,左手地面稀疏帧线性补洞，右手弹跳关系仍应稳定。
跳,right_hand_middle12_interp,positive,True,True,82.67194005108975,70.0,right_hand,middle_12pct,3,3,63,semantic_action_window,score_valid,score_valid,action_window_net,used,右手约 12% 弹跳轨迹线性化，作为短补洞正向门。
跳,left_hand_middle12_interp,positive,True,True,93.00348649972656,70.0,left_hand,middle_12pct,3,3,63,semantic_action_window,score_valid,score_valid,action_window_net,used,左手地面约 12% 轨迹线性化，双手关系仍应可恢复。
跳,both_hands_middle12_interp_diagnostic,diagnostic,False,True,78.5453980517561,,"left_hand,right_hand",middle_12pct,3,3,126,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,短动作双手同时线性化约 12% 偏强，只记录诊断边界。
跳,right_hand_middle18_interp_diagnostic,diagnostic,False,True,82.67194005108975,,right_hand,middle_18pct,3,3,63,semantic_action_window,score_valid,score_valid,action_window_net,used,右手弹跳核心约 18% 线性化偏强，只记录诊断边界。
跳,both_hands_middle25_interp_diagnostic,diagnostic,False,True,77.3164615242177,,"left_hand,right_hand",middle_25pct,5,5,105,semantic_action_window,score_valid,score_valid,action_window_net,used,双手核心约 25% 轨迹线性化属于强边界，只作诊断。
