word,variant,kind,gated,passed,score,min_score,source_group,target_group,pattern,active_frame_count,changed_frames,changed_points,visible_source_frames,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,left_hand,right_hand,none,0,0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,single_mid_left_duplicates_right,positive,True,True,99.94469579970176,70.0,right_hand,left_hand,single_mid,1,1,21,1,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,单帧左手被右手幽灵副本替代，模拟偶发双手检测误报。
花,single_mid_right_duplicates_left,positive,True,True,99.03979149861645,70.0,left_hand,right_hand,single_mid,1,1,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,单帧右手被左手幽灵副本替代，模拟偶发双手检测误报。
花,sparse_left_duplicates_right_every_6f,positive,True,True,99.60783495419726,70.0,right_hand,left_hand,sparse_every_6f,9,9,168,8,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,稀疏帧左手变成右手幽灵副本，完整动作证据仍应可评分。
花,sparse_right_duplicates_left_every_6f,positive,True,True,95.57274163662464,70.0,left_hand,right_hand,sparse_every_6f,9,9,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,稀疏帧右手变成左手幽灵副本，完整动作证据仍应可评分。
花,flower_full_left_ghost_from_right_offset,positive,True,False,69.38779825308104,70.0,right_hand,left_hand,full,53,53,840,40,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,花的非核心左手全程成为右手开花手的幽灵副本，不应拖低清晰开花语义。
花,flower_middle30_left_ghost_from_right,positive,True,True,72.83789620181317,70.0,right_hand,left_hand,middle_30pct,15,15,315,15,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,花的非核心左手核心中段被右手副本替代，应仍由开花手主语义评分。
花,flower_middle45_right_core_ghost_from_left_diagnostic,diagnostic,False,True,29.506460549298502,,left_hand,right_hand,middle_45pct,23,23,0,0,53,full_sequence_with_action_window_diagnostics,needs_recapture,flower_core_hand_presence_low,short_visible_core,query_not_short_core_capture,诊断记录：开花核心手被非核心手副本替代时的边界分。
跳,self_recomputed,positive,True,True,100.0,95.0,left_hand,right_hand,none,0,0,0,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,single_mid_left_duplicates_right,positive,True,True,70.46895751687171,70.0,right_hand,left_hand,single_mid,1,1,21,1,19,semantic_action_window,score_valid,score_valid,action_window_net,used,单帧左手被右手幽灵副本替代，模拟偶发双手检测误报。
跳,single_mid_right_duplicates_left,positive,True,True,70.46895751687171,70.0,left_hand,right_hand,single_mid,1,1,21,1,19,semantic_action_window,score_valid,score_valid,action_window_net,used,单帧右手被左手幽灵副本替代，模拟偶发双手检测误报。
跳,sparse_left_duplicates_right_every_6f,positive,True,True,70.46895751687171,70.0,right_hand,left_hand,sparse_every_6f,3,3,63,3,19,semantic_action_window,score_valid,score_valid,action_window_net,used,稀疏帧左手变成右手幽灵副本，完整动作证据仍应可评分。
跳,sparse_right_duplicates_left_every_6f,positive,True,True,73.03202084653721,70.0,left_hand,right_hand,sparse_every_6f,3,3,63,3,19,semantic_action_window,score_valid,score_valid,action_window_net,used,稀疏帧右手变成左手幽灵副本，完整动作证据仍应可评分。
跳,jump_middle30_left_ghost_from_right_diagnostic,diagnostic,False,True,84.58735174804502,,right_hand,left_hand,middle_30pct,5,5,105,5,19,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,诊断记录：左手地面核心段被右手小人副本替代时的边界分。
跳,jump_middle30_right_ghost_from_left_diagnostic,diagnostic,False,True,81.56637489990057,,left_hand,right_hand,middle_30pct,5,5,105,5,19,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,诊断记录：右手小人核心段被左手地面副本替代时的边界分。
跳,jump_full_left_ghost_from_right_diagnostic,diagnostic,False,True,27.92876780926173,,right_hand,left_hand,full,19,19,357,17,19,semantic_action_window,semantic_mismatch,relation_direction_mismatch,action_window_net,relation_direction_mismatch,全程左手是右手幽灵副本，属于明显双手关系失真，只记录诊断边界。
跳,jump_full_right_ghost_from_left_diagnostic,diagnostic,False,True,19.22192775944854,,left_hand,right_hand,full,19,19,336,16,19,semantic_action_window,semantic_mismatch,relation_direction_mismatch,action_window_net,relation_direction_mismatch,全程右手是左手幽灵副本，属于明显双手关系失真，只记录诊断边界。
