case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,32,100.0,0.0,0.0
subsample_even,target_positive_variant,high,16,75.3069406698621,0.02428947084172744,0.03403174582313041
trim_start_20pct,target_positive_variant,high,26,56.75027724722529,0.0010888872108493004,0.06798115730698218
trim_end_20pct,target_positive_variant,high,26,88.93237360744128,0.0009590504517609315,0.014075274263218406
trim_both_10pct,target_positive_variant,high,26,67.1738353494037,0.0011157193078268292,0.04774636430362593
amplitude_0.85,target_positive_variant,high,32,96.83813672451362,0.00016818894754201902,0.0038555153839575818
amplitude_1.15,target_positive_variant,high,32,97.27046400199892,0.00014473114490267232,0.0033209758644440596
fake_reverse_time,synthetic_fake_action,low,32,19.62465649540888,0.08169252235669237,0.19540601110697542
fake_shuffle_frames,synthetic_fake_action,low,32,8.130267502160613,0.06457075165432215,0.30114916318498564
fake_static_hold,synthetic_fake_action,low,32,2.2621707919704868,0.0657141404238921,0.45466143675535253
fake_random_landmarks,synthetic_fake_action,low,32,0.00472718989027699,0.55206036919561,1.195151345106161
fake_random_walk,synthetic_fake_action,low,32,0.014695826641555014,0.5259472035216249,1.0590434296114024
other_demo_唱歌,other_demo_action,low,27,7.615127136862338,0.19911387697678293,0.30900402050371506
other_demo_指示,other_demo_action,low,30,4.629740963425902,0.22897879140294594,0.36872031202551303
other_demo_月亮,other_demo_action,low,47,9.685615254367457,0.16096782747252636,0.28014340375495933
other_demo_朋友,other_demo_action,low,28,21.482081275484443,0.10724286745015409,0.18455412328761434
other_demo_汽车,other_demo_action,low,44,10.274306619896,0.16314865693373476,0.2730628692157664
other_demo_花,other_demo_action,low,53,23.18847548410259,0.10513218252412113,0.17538177325320836
other_demo_虎,other_demo_action,low,54,11.553418314102185,0.1741232824740973,0.25898266018515276
other_demo_跳,other_demo_action,low,19,14.492170058285762,0.15414730794349116,0.23178740140706308
other_demo_香蕉,other_demo_action,low,42,10.777183296525896,0.1910056314894313,0.26732867332757854
