word,variant,kind,gated,passed,score,min_score,group,pairs,alpha,mode,pattern,active_frame_count,changed_frames,changed_points,changed_pairs,skipped_pairs,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,right_hand,[],0.0,compress,none,0,0,0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,flower_right_index_middle_single_mid_compress_0p35,positive,True,True,99.75511951649116,70.0,right_hand,"[('index', 'middle')]",0.35,compress,single_mid,1,1,6,1,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手 index/middle 指缝单帧压缩，模拟瞬时手指扇形识别塌缩。
花,flower_right_nonoverlap_sparse_compress_0p25_every_5f,positive,True,True,97.49749590897612,70.0,right_hand,"[('index', 'middle'), ('ring', 'pinky')]",0.25,compress,sparse_every_5f,10,7,84,14,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手相邻指缝稀疏帧轻中度压缩，完整张开证据仍应保留。
花,flower_right_wide_middle20_spread_0p16,positive,True,True,97.53626598441342,70.0,right_hand,"[('thumb', 'index'), ('middle', 'ring')]",0.16,spread,middle_20pct,11,11,132,22,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心窗口 thumb/index 与 middle/ring 指缝轻度拉大，覆盖 fan spread 漂移。
花,flower_right_nonoverlap_middle20_compress_0p18,positive,True,True,97.59784189704686,70.0,right_hand,"[('index', 'middle'), ('ring', 'pinky')]",0.18,compress,middle_20pct,11,11,132,22,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花短核心窗口非重叠相邻指缝压缩，验证局部扇形几何容错。
花,flower_right_nonoverlap_full_compress_0p08,positive,True,True,81.21991228730428,70.0,right_hand,"[('index', 'middle'), ('ring', 'pinky')]",0.08,compress,full,53,40,480,80,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花全程轻微相邻指缝压缩，不应破坏开合相位和核心手形。
花,flower_right_full_fan_middle35_compress_0p42_diagnostic,diagnostic,False,True,95.35177089007124,,right_hand,"[('thumb', 'index'), ('index', 'middle'), ('middle', 'ring'), ('ring', 'pinky')]",0.42,compress,middle_35pct,19,19,285,76,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,诊断记录：较长核心窗口全扇形指缝明显塌缩时的边界分。
花,flower_right_full_fan_full_cross_0p66_diagnostic,diagnostic,False,True,80.26843899431377,,right_hand,"[('thumb', 'index'), ('index', 'middle'), ('middle', 'ring'), ('ring', 'pinky')]",0.66,cross,full,53,40,600,160,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,诊断记录：全程相邻手指 distal chains 发生几何交叉时的边界分。
跳,self_recomputed,positive,True,True,100.0,95.0,right_hand,[],0.0,compress,none,0,0,0,0,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,jump_right_person_full_compress_0p08,positive,True,True,96.06228397551439,70.0,right_hand,"[('index', 'middle')]",0.08,compress,full,19,17,102,17,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指小人 index/middle 指缝全程轻微压缩，双手关系和两指手形仍应稳定。
跳,jump_right_person_full_spread_0p08,positive,True,True,96.0448446530839,70.0,right_hand,"[('index', 'middle')]",0.08,spread,full,19,17,102,17,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指小人 index/middle 指缝全程轻微拉大，覆盖相反 fan drift。
跳,jump_right_person_sparse_compress_0p20_every_5f,positive,True,True,76.62893797192515,70.0,right_hand,"[('index', 'middle')]",0.2,compress,sparse_every_5f,4,4,24,4,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指小人稀疏帧中度指缝压缩，跳跃轨迹仍应保持。
跳,jump_right_person_middle20_compress_0p14,positive,True,True,97.28744268521228,70.0,right_hand,"[('index', 'middle')]",0.14,compress,middle_20pct,3,3,18,3,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指核心短窗口轻度指缝压缩，验证局部 fan geometry 容错。
跳,jump_left_ground_nonoverlap_full_compress_0p10,positive,True,True,99.7089656617373,70.0,left_hand,"[('index', 'middle'), ('ring', 'pinky')]",0.1,compress,full,19,16,192,32,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的左手地面手相邻指缝轻度压缩，右手两指语义和双手关系应不受影响。
跳,jump_right_person_full_cross_0p58_diagnostic,diagnostic,False,True,82.3015873015873,,right_hand,"[('index', 'middle')]",0.58,cross,full,19,17,102,17,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,诊断记录：右手两指小人 index/middle distal chains 全程几何交叉时的边界分。
跳,jump_right_person_middle35_compress_0p38_diagnostic,diagnostic,False,True,89.2979665440875,,right_hand,"[('index', 'middle')]",0.38,compress,middle_35pct,7,7,42,7,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,诊断记录：右手两指小人较长核心窗口明显指缝塌缩时的边界分。
