word,variant,kind,gated,passed,score,min_score,groups,pattern,mode,amplitude,period,dx_min,dx_max,dy_min,dy_max,changed_frames,changed_visible_points,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,"[""left_hand"", ""right_hand""]",none,x,0.0,1,0.0,0.0,0.0,0.0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,both_hands_smooth_center_x_0.04,positive,True,True,82.11452248467523,70.0,"[""left_hand"", ""right_hand""]",smooth,x,0.04,1,-0.04,0.04,0.0,0.0,50,798,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手检测中心随时间平滑横向漂移 4%，模拟 detector crop center wobble。
花,both_hands_smooth_center_y_0.04,positive,True,True,82.11239965234192,70.0,"[""left_hand"", ""right_hand""]",smooth,y,0.04,1,0.0,0.0,-0.04,0.04,50,798,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手检测中心随时间平滑纵向漂移 4%，整体手势仍应可评分。
花,both_hands_sparse_center_diag_0.035_every_5f,positive,True,True,98.57263192391984,70.0,"[""left_hand"", ""right_hand""]",sparse,diag,0.035,5,-0.035,0.035,-0.022750000000000003,0.022750000000000003,10,147,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,少量帧双手检测中心出现轻微对角跳点，模拟网页帧级 detector center flicker。
花,right_hand_smooth_center_y_0.03,positive,True,True,82.13507010681376,70.0,"[""right_hand""]",smooth,y,0.03,1,0.0,0.0,-0.03,0.03,50,798,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手核心手检测中心平滑纵向漂移 3%，验证右手 motion/relation 对中心抖动的吸收。
花,right_hand_sparse_center_diag_0.025_every_5f,positive,True,True,98.67369674485293,70.0,"[""right_hand""]",sparse,diag,0.025,5,-0.025,0.025,-0.01625,0.01625,10,147,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,少量帧右手检测中心轻微跳点，覆盖单手局部 detector flicker。
花,left_hand_smooth_center_y_0.03,positive,True,True,100.0,70.0,"[""left_hand""]",smooth,y,0.03,1,0.0,0.0,-0.03,0.03,50,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,左手检测中心平滑纵向漂移 3%，覆盖跳的地面手和花的非核心手。
花,left_hand_sparse_center_diag_0.025_every_5f,positive,True,True,100.0,70.0,"[""left_hand""]",sparse,diag,0.025,5,-0.025,0.025,-0.01625,0.01625,10,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,少量帧左手检测中心轻微跳点，不应破坏完整动作评分。
花,both_hands_strong_smooth_center_y_0.18_diagnostic,diagnostic,False,True,81.7733942844366,,"[""left_hand"", ""right_hand""]",smooth,y,0.18,1,0.0,0.0,-0.18,0.18,50,798,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手检测中心平滑大幅漂移 18% 属于强边界，只记录诊断分数。
花,right_hand_strong_sparse_center_diag_0.12_every_4f_diagnostic,diagnostic,False,True,96.11677907998263,,"[""right_hand""]",sparse,diag,0.12,4,-0.12,0.12,-0.078,0.078,13,210,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手检测中心少量帧大幅跳点不是正常轻微 detector wobble，只记录诊断分数。
花,left_hand_strong_sparse_center_diag_0.12_every_4f_diagnostic,diagnostic,False,True,100.0,,"[""left_hand""]",sparse,diag,0.12,4,-0.12,0.12,-0.078,0.078,13,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,左手检测中心少量帧大幅跳点不是正常轻微 detector wobble，只记录诊断分数。
跳,self_recomputed,positive,True,True,100.0,95.0,"[""left_hand"", ""right_hand""]",none,x,0.0,1,0.0,0.0,0.0,0.0,0,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,both_hands_smooth_center_x_0.04,positive,True,True,99.51659631987017,70.0,"[""left_hand"", ""right_hand""]",smooth,x,0.04,1,-0.03939231012048833,0.03939231012048832,0.0,0.0,16,609,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手检测中心随时间平滑横向漂移 4%，模拟 detector crop center wobble。
跳,both_hands_smooth_center_y_0.04,positive,True,True,99.50350821703316,70.0,"[""left_hand"", ""right_hand""]",smooth,y,0.04,1,0.0,0.0,-0.03939231012048833,0.03939231012048832,16,609,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手检测中心随时间平滑纵向漂移 4%，整体手势仍应可评分。
跳,both_hands_sparse_center_diag_0.035_every_5f,positive,True,True,99.72006450808382,70.0,"[""left_hand"", ""right_hand""]",sparse,diag,0.035,5,-0.035,0.035,-0.022750000000000003,0.022750000000000003,4,147,19,semantic_action_window,score_valid,score_valid,action_window_net,used,少量帧双手检测中心出现轻微对角跳点，模拟网页帧级 detector center flicker。
跳,right_hand_smooth_center_y_0.03,positive,True,True,98.55134033156216,70.0,"[""right_hand""]",smooth,y,0.03,1,0.0,0.0,-0.029544232590366242,0.02954423259036624,16,315,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手核心手检测中心平滑纵向漂移 3%，验证右手 motion/relation 对中心抖动的吸收。
跳,right_hand_sparse_center_diag_0.025_every_5f,positive,True,True,99.4077694107182,70.0,"[""right_hand""]",sparse,diag,0.025,5,-0.025,0.025,-0.01625,0.01625,4,84,19,semantic_action_window,score_valid,score_valid,action_window_net,used,少量帧右手检测中心轻微跳点，覆盖单手局部 detector flicker。
跳,left_hand_smooth_center_y_0.03,positive,True,True,98.64603803630037,70.0,"[""left_hand""]",smooth,y,0.03,1,0.0,0.0,-0.029544232590366242,0.02954423259036624,16,294,19,semantic_action_window,score_valid,score_valid,action_window_net,used,左手检测中心平滑纵向漂移 3%，覆盖跳的地面手和花的非核心手。
跳,left_hand_sparse_center_diag_0.025_every_5f,positive,True,True,99.72126666022264,70.0,"[""left_hand""]",sparse,diag,0.025,5,-0.025,0.025,-0.01625,0.01625,4,63,19,semantic_action_window,score_valid,score_valid,action_window_net,used,少量帧左手检测中心轻微跳点，不应破坏完整动作评分。
跳,both_hands_strong_smooth_center_y_0.18_diagnostic,diagnostic,False,True,77.0829915545395,,"[""left_hand"", ""right_hand""]",smooth,y,0.18,1,0.0,0.0,-0.17726539554219745,0.17726539554219745,16,609,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手检测中心平滑大幅漂移 18% 属于强边界，只记录诊断分数。
