word,variant,kind,gated,passed,score,min_score,max_score,occlusion_pattern,occluded_groups,occluded_landmarks,occlusion_frame_count,occlusion_ratio,occluded_visible_points,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,,none,,,0,0.0,0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 motion/relation 特征，应保持近满分。
花,single_mid_all_tips,positive,True,True,99.25572387636026,70.0,,single_mid,right_hand,"4,8,12,16,20",1,0.018867924528301886,5,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,单帧右手五个 fingertip mask 丢失，模拟短时遮挡/检测抖动。
花,sparse_index_middle,positive,True,True,99.67696617125353,70.0,,sparse_every_7th,right_hand,"8,12",8,0.1509433962264151,12,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,稀疏食指/中指 tip mask 丢失，应靠时序冗余保持可评分。
花,sparse_all_tips,positive,True,True,98.57514747034496,70.0,,sparse_every_7th,right_hand,"4,8,12,16,20",8,0.1509433962264151,30,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,稀疏全 fingertip mask 丢失，覆盖网页帧间 tip 闪断。
花,middle20_index_middle,positive,True,True,99.2295542873774,70.0,,middle_20pct,right_hand,"8,12",11,0.20754716981132076,22,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,动作中段 20% 食指/中指 tip 短时不可见，仍应保持边界以上。
花,middle20_all_tips,positive,True,True,95.8290610531743,70.0,,middle_20pct,right_hand,"4,8,12,16,20",11,0.20754716981132076,55,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,动作中段 20% 全 tip 短时不可见，作为正向遮挡鲁棒门。
花,core40_all_tips_diagnostic,diagnostic,False,True,75.98579108693109,,,core_40pct,right_hand,"4,8,12,16,20",21,0.39622641509433965,105,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,核心段 40% 全 tip 缺失属于遮挡边界，记录分数但不设硬门。
花,all_right_tips_negative,negative,True,True,11.133053406826672,,45.0,all,right_hand,"4,8,12,16,20",53,1.0,200,full_sequence_with_action_window_diagnostics,semantic_mismatch,flower_opening_guard_failed,short_visible_core,query_not_short_core_capture,花的右手绽放指尖全程不可见，不能当作完整语义通过。
跳,self_recomputed,positive,True,True,100.0,95.0,,none,,,0,0.0,0,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 motion/relation 特征，应保持近满分。
跳,single_mid_all_tips,positive,True,True,81.56637489990057,70.0,,single_mid,right_hand,"4,8,12,16,20",1,0.05263157894736842,5,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,单帧右手五个 fingertip mask 丢失，模拟短时遮挡/检测抖动。
跳,sparse_index_middle,positive,True,True,79.14947753314814,70.0,,sparse_every_7th,right_hand,"8,12",3,0.15789473684210525,6,semantic_action_window,score_valid,score_valid,action_window_net,used,稀疏食指/中指 tip mask 丢失，应靠时序冗余保持可评分。
跳,sparse_all_tips,positive,True,True,70.46895751687171,70.0,,sparse_every_7th,right_hand,"4,8,12,16,20",3,0.15789473684210525,15,semantic_action_window,score_valid,score_valid,action_window_net,used,稀疏全 fingertip mask 丢失，覆盖网页帧间 tip 闪断。
跳,middle20_index_middle,positive,True,True,81.56950496360463,70.0,,middle_20pct,right_hand,"8,12",3,0.15789473684210525,6,semantic_action_window,score_valid,score_valid,action_window_net,used,动作中段 20% 食指/中指 tip 短时不可见，仍应保持边界以上。
跳,middle20_all_tips,positive,True,True,74.62943369374624,70.0,,middle_20pct,right_hand,"4,8,12,16,20",3,0.15789473684210525,15,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,动作中段 20% 全 tip 短时不可见，作为正向遮挡鲁棒门。
跳,core40_all_tips_diagnostic,diagnostic,False,True,76.7577924889825,,,core_40pct,right_hand,"4,8,12,16,20",7,0.3684210526315789,35,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,核心段 40% 全 tip 缺失属于遮挡边界，记录分数但不设硬门。
跳,all_right_index_middle_negative,negative,True,True,10.010180441908066,,45.0,all,right_hand,"8,12",19,1.0,34,semantic_action_window,semantic_mismatch,missing_relation_delta,action_window_net,missing_relation_delta,跳的右手两指小人食指/中指 tip 全程不可见，应重采或语义失败。
