word,variant,kind,passed,score,threshold,group,pattern,operation,collision_frame_count,collision_participant_count_min,collision_participant_count_max,max_collision_cluster_size,collision_handling_rate,minimum_remaining_point_count,capture_quality,capture_reason,exception
花,self_reloaded,positive,True,100.0,95.0,,none,none,0,,,,,,score_valid,score_valid,
花,right_hand_landmarks_tip_to_dip_all_sparse_preserved,positive,True,98.83345591854618,75.0,right_hand_landmarks,sparse_visible,tip_to_dip_all,6,10,10,2,1.0,11,score_valid,score_valid,
花,right_hand_landmarks_tip_to_dip_all_full_semantic_mismatch,diagnostic,True,10.730961832385875,55.0,right_hand_landmarks,full_visible,tip_to_dip_all,40,10,10,2,1.0,11,semantic_mismatch,flower_opening_guard_failed,
花,right_hand_landmarks_dip_tip_to_pip_all_sparse_preserved,positive,True,98.71297380326935,75.0,right_hand_landmarks,sparse_visible,dip_tip_to_pip_all,6,15,15,3,1.0,6,score_valid,score_valid,
花,right_hand_landmarks_dip_tip_to_pip_all_full_semantic_mismatch,diagnostic,True,10.528987056190774,55.0,right_hand_landmarks,full_visible,dip_tip_to_pip_all,40,15,15,3,1.0,6,semantic_mismatch,flower_opening_guard_failed,
花,right_hand_landmarks_distal_to_mcp_all_sparse_preserved,positive,True,98.5067261554294,75.0,right_hand_landmarks,sparse_visible,distal_to_mcp_all,6,20,20,4,1.0,1,score_valid,score_valid,
花,right_hand_landmarks_distal_to_mcp_all_full_semantic_mismatch,diagnostic,True,10.07561559970488,55.0,right_hand_landmarks,full_visible,distal_to_mcp_all,40,20,20,4,1.0,1,semantic_mismatch,flower_opening_guard_failed,
花,right_hand_landmarks_index_middle_to_index_mcp_sparse_preserved,positive,True,97.85220338004291,75.0,right_hand_landmarks,sparse_visible,index_middle_to_index_mcp,6,8,8,8,1.0,13,score_valid,score_valid,
花,right_hand_landmarks_index_middle_to_index_mcp_full_semantic_mismatch,diagnostic,False,80.96086162186668,55.0,right_hand_landmarks,full_visible,index_middle_to_index_mcp,40,8,8,8,1.0,13,score_valid,score_valid,
花,right_hand_landmarks_all_tips_to_wrist_full_local_mask,handling,True,10.902342365182681,,right_hand_landmarks,full_visible,all_tips_to_wrist,40,6,6,6,1.0,15,semantic_mismatch,flower_opening_guard_failed,
花,right_hand_landmarks_all_mcps_to_wrist_full_local_mask,handling,True,10.937465837163014,,right_hand_landmarks,full_visible,all_mcps_to_wrist,40,6,6,6,1.0,15,semantic_mismatch,flower_opening_guard_failed,
花,right_hand_landmarks_single_index_tip_to_dip_sparse_preserved,positive,True,99.4839497419899,75.0,right_hand_landmarks,sparse_visible,single_index_tip_to_dip,6,2,2,2,1.0,19,score_valid,score_valid,
花,right_hand_landmarks_camera_640x480_z1024_raw_quantized,positive,True,80.67501274151887,70.0,right_hand_landmarks,full_visible,quantize_camera_640x480_z1024,1,0,4,2,1.0,17,score_valid,score_valid,
花,right_hand_landmarks_camera_320x240_z512_raw_quantized,positive,True,78.83777618676493,70.0,right_hand_landmarks,full_visible,quantize_camera_320x240_z512,5,0,7,3,1.0,14,score_valid,score_valid,
花,right_hand_landmarks_xyz_1_256_raw_quantized,positive,True,77.94693261679181,70.0,right_hand_landmarks,full_visible,quantize_xyz_1_256,7,0,11,3,1.0,10,score_valid,score_valid,
跳,self_reloaded,positive,True,100.0,95.0,,none,none,0,,,,,,score_valid,score_valid,
跳,right_hand_landmarks_tip_to_dip_all_sparse_preserved,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,tip_to_dip_all,2,10,10,2,1.0,11,score_valid,score_valid,
跳,right_hand_landmarks_tip_to_dip_all_full_semantic_mismatch,diagnostic,True,1.534660005280852,55.0,right_hand_landmarks,full_visible,tip_to_dip_all,17,10,10,2,1.0,11,semantic_mismatch,missing_relation_delta,
跳,right_hand_landmarks_dip_tip_to_pip_all_sparse_preserved,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,dip_tip_to_pip_all,2,15,15,3,1.0,6,score_valid,score_valid,
跳,right_hand_landmarks_dip_tip_to_pip_all_full_semantic_mismatch,diagnostic,True,1.2546383626558788,55.0,right_hand_landmarks,full_visible,dip_tip_to_pip_all,17,15,15,3,1.0,6,semantic_mismatch,missing_relation_delta,
跳,right_hand_landmarks_distal_to_mcp_all_sparse_preserved,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,distal_to_mcp_all,2,20,20,4,1.0,1,score_valid,score_valid,
跳,right_hand_landmarks_distal_to_mcp_all_full_semantic_mismatch,diagnostic,True,0.971800374335323,55.0,right_hand_landmarks,full_visible,distal_to_mcp_all,17,20,20,4,1.0,1,semantic_mismatch,phase_order_disorder,
跳,right_hand_landmarks_index_middle_to_index_mcp_sparse_preserved,positive,True,81.36725165083313,75.0,right_hand_landmarks,sparse_visible,index_middle_to_index_mcp,2,8,8,8,1.0,13,score_valid,score_valid,
跳,right_hand_landmarks_index_middle_to_index_mcp_full_semantic_mismatch,diagnostic,True,4.589494992941902,55.0,right_hand_landmarks,full_visible,index_middle_to_index_mcp,17,8,8,8,1.0,13,semantic_mismatch,missing_relation_delta,
跳,right_hand_landmarks_all_tips_to_wrist_full_local_mask,handling,True,1.77917635850003,,right_hand_landmarks,full_visible,all_tips_to_wrist,17,6,6,6,1.0,15,semantic_mismatch,missing_relation_delta,
跳,right_hand_landmarks_all_mcps_to_wrist_full_local_mask,handling,True,1.770471679080348,,right_hand_landmarks,full_visible,all_mcps_to_wrist,17,6,6,6,1.0,15,semantic_mismatch,missing_relation_delta,
跳,right_hand_landmarks_single_index_tip_to_dip_sparse_preserved,positive,False,70.71354399426619,75.0,right_hand_landmarks,sparse_visible,single_index_tip_to_dip,2,2,2,2,1.0,19,score_valid,score_valid,
