word,variant,kind,passed,score,min_score,sx,sy,dtw_distance,normalized_distance,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,100.0,95.0,1.0,1.0,0.0,0.0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 motion/relation/hand-shape，应保持近满分。
花,aspect_x1.10_y0.92,positive,True,81.04693244708999,75.0,1.1,0.92,0.028685326395448917,0.030470558996603725,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,轻微横向拉宽、纵向压缩，模拟 canvas 或摄像头宽高比轻度失配。
花,aspect_x0.92_y1.10,positive,True,80.8967148684978,75.0,0.92,1.1,0.028694680754787427,0.030739560658651778,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,轻微横向压缩、纵向拉高，模拟反向宽高比轻度失配。
花,aspect_x1.18_y0.85,positive,True,80.77492364841429,75.0,1.18,0.85,0.028695613642438972,0.03095802482979188,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,中度横向拉宽、纵向压缩，仍应保持可评分。
花,aspect_x0.85_y1.18,positive,True,80.3445387881891,75.0,0.85,1.18,0.02871297653023496,0.03173267926594166,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,中度横向压缩、纵向拉高，仍应保持可评分。
花,diagnostic_x1.35_y0.70,diagnostic,True,80.35562165555716,,1.35,0.7,0.02873214464767425,0.031712679089632205,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,强横向拉宽和纵向压缩，只记录诊断边界。
花,diagnostic_x0.70_y1.35,diagnostic,True,78.89468260228668,,0.7,1.35,0.028763685286117717,0.03437317140948945,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,强横向压缩和纵向拉高，只记录诊断边界。
花,diagnostic_x1.55_y0.55,diagnostic,True,79.87651753486925,,1.55,0.55,0.028793192602734198,0.0325797998168936,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,极端横向拉宽，会真实破坏跳的方向关系，只记录诊断。
花,diagnostic_x0.55_y1.55,diagnostic,True,76.93997995739879,,0.55,1.55,0.028834781627863668,0.03801095962827001,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,极端横向压缩和纵向拉高，只记录诊断。
跳,self_recomputed,positive,True,100.0,95.0,1.0,1.0,0.0,0.0,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 motion/relation/hand-shape，应保持近满分。
跳,aspect_x1.10_y0.92,positive,True,92.92420552448799,75.0,1.1,0.92,0.01694557134917322,0.018384970457291018,semantic_action_window,score_valid,score_valid,action_window_net,used,轻微横向拉宽、纵向压缩，模拟 canvas 或摄像头宽高比轻度失配。
跳,aspect_x0.92_y1.10,positive,True,92.31118161826886,75.0,0.92,1.1,0.018439719511506296,0.020031184862145533,semantic_action_window,score_valid,score_valid,action_window_net,used,轻微横向压缩、纵向拉高，模拟反向宽高比轻度失配。
跳,aspect_x1.18_y0.85,positive,True,87.80265107733443,75.0,1.18,0.85,0.03005940577471817,0.03259584400952337,semantic_action_window,score_valid,score_valid,action_window_net,used,中度横向拉宽、纵向压缩，仍应保持可评分。
跳,aspect_x0.85_y1.18,positive,True,85.97510348491639,75.0,0.85,1.18,0.03464565904600885,0.0377706097424694,semantic_action_window,score_valid,score_valid,action_window_net,used,中度横向压缩、纵向拉高，仍应保持可评分。
跳,diagnostic_x1.35_y0.70,diagnostic,True,74.27680388066167,,1.35,0.7,0.055112360710072514,0.06975493959030062,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,强横向拉宽和纵向压缩，只记录诊断边界。
跳,diagnostic_x0.70_y1.35,diagnostic,True,80.67416298756578,,0.7,1.35,0.07025897968844597,0.09041729023001639,semantic_action_window,score_valid,score_valid,action_window_net,used,强横向压缩和纵向拉高，只记录诊断边界。
跳,diagnostic_x1.55_y0.55,diagnostic,True,55.28219941054966,,1.55,0.55,0.07693097453239005,0.10058778725218187,semantic_action_window,semantic_mismatch,relation_motion_too_horizontal,action_window_net,relation_motion_too_horizontal,极端横向拉宽，会真实破坏跳的方向关系，只记录诊断。
跳,diagnostic_x0.55_y1.55,diagnostic,True,79.43470955769098,,0.55,1.55,0.09851017111411176,0.13314838800798798,semantic_action_window,score_valid,score_valid,action_window_net,used,极端横向压缩和纵向拉高，只记录诊断。
