word,variant,kind,gated,passed,score,min_score,max_score,query_length,length_ratio,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,phase_order_blocked,phase_order_reason,rationale
花,trim_start_15pct,positive,True,True,99.56893232319487,70.0,,45,0.8490566037735849,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,录制略晚开始，核心动作仍完整。
花,trim_end_15pct,positive,True,True,97.9580586148597,70.0,,45,0.8490566037735849,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,录制略早结束，核心动作仍完整。
花,trim_both_10pct,positive,True,True,98.64332093838112,70.0,,43,0.8113207547169812,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,起止边界同时轻度裁剪，动作主段仍在。
花,center_70pct,positive,True,True,98.01270733817832,70.0,,37,0.6981132075471698,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,仅保留中间约 70% 的动作窗口，仍应保留主要语义相位。
花,early_half_missing_bloom,negative,True,True,39.36813415402531,,45.0,26,0.49056603773584906,full_sequence_with_action_window_diagnostics,semantic_mismatch,phase_order_disorder,short_visible_core,phase_order_disorder,True,phase_order_disorder,只录到前半段，缺少花手张开/绽放核心变化。
花,early_60pct_missing_bloom,negative,True,True,41.949044317291886,,45.0,32,0.6037735849056604,full_sequence_with_action_window_diagnostics,semantic_mismatch,phase_order_disorder,short_visible_core,phase_order_disorder,True,phase_order_disorder,结束过早，绽放动作不完整。
花,late_half_diagnostic,diagnostic,False,True,81.2094209336237,,,27,0.5094339622641509,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,花的后半段可能仍包含绽放核心，仅诊断记录，不作为负向门。
跳,trim_start_15pct,positive,True,True,80.75032033844313,70.0,,16,0.8421052631578947,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,录制略晚开始，核心动作仍完整。
跳,trim_end_15pct,positive,True,True,80.99066407622799,70.0,,16,0.8421052631578947,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,录制略早结束，核心动作仍完整。
跳,trim_both_10pct,positive,True,True,80.98549690412744,70.0,,15,0.7894736842105263,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,起止边界同时轻度裁剪，动作主段仍在。
跳,center_70pct,positive,True,True,81.04528031866973,70.0,,13,0.6842105263157895,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,仅保留中间约 70% 的动作窗口，仍应保留主要语义相位。
跳,early_half_missing_landing,negative,True,True,45.0,,45.0,10,0.5263157894736842,semantic_action_window,semantic_mismatch,phase_order_disorder,action_window_net,weak_same_direction_vertical_jump,True,phase_order_disorder,只录到前半段，缺少完整弹跳落点/关系方向。
跳,late_half_missing_takeoff,negative,True,True,25.478023153358365,,45.0,9,0.47368421052631576,semantic_action_window,semantic_mismatch,relation_direction_mismatch,action_window_net,relation_direction_mismatch,False,passed,开始过晚，缺少左手地面与右手起跳的核心关系。
跳,keyframes_6_diagnostic,diagnostic,False,True,82.53791978591207,,,6,0.3157894736842105,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,False,passed,跳在少量关键帧下通常仍可表达动作，仅诊断采样边界。
