word,variant,kind,gated,passed,score,min_score,query_length,standard_length,length_ratio,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,phase_order_blocked,phase_order_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,53,53,1.0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,标准序列剥离派生组后重建 motion/relation，应保持近满分。
花,bloom_core_fast_0.70x,positive,True,True,97.37152217335944,70.0,46,53,0.8679245283018868,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,词义核心段更快，但核心过程仍完整可见。
花,bloom_core_slow_1.55x,positive,True,True,97.96747363879493,70.0,66,53,1.2452830188679245,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,词义核心段更慢，局部帧更密但语义顺序不变。
花,bloom_core_fast_then_slow,positive,True,True,95.08512163269998,70.0,53,53,1.0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,核心段前半快、后半慢，模拟用户在关键姿态附近减速。
花,bloom_core_slow_then_fast,positive,True,True,99.1771367911731,70.0,53,53,1.0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,核心段前半慢、后半快，模拟用户完成核心动作时加速。
花,bloom_core_pause_0.25,positive,True,True,98.68473840131428,70.0,59,53,1.1132075471698113,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,核心段有短暂停顿，但动作起止和关键形态完整。
花,bloom_core_fast_0.45x_diagnostic,diagnostic,False,True,95.5089454938781,,40,53,0.7547169811320755,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,核心段极度压缩，作为快动作/欠采样边界。
花,bloom_core_gap_0.45_diagnostic,diagnostic,False,True,96.80914386978586,,42,53,0.7924528301886793,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,核心段中部被跳过，记录缺核心边界，不作为普通速率鲁棒性。
跳,self_recomputed,positive,True,True,100.0,95.0,19,19,1.0,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,标准序列剥离派生组后重建 motion/relation，应保持近满分。
跳,jump_relation_core_fast_0.70x,positive,True,True,85.0,70.0,16,19,0.8421052631578947,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,词义核心段更快，但核心过程仍完整可见。
跳,jump_relation_core_slow_1.40x,positive,True,True,75.4843306299057,70.0,23,19,1.2105263157894737,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,False,passed,词义核心段更慢，局部帧更密但语义顺序不变。
跳,jump_relation_core_fast_then_slow,positive,True,True,88.81648574871627,70.0,19,19,1.0,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,核心段前半快、后半慢，模拟用户在关键姿态附近减速。
跳,jump_relation_core_slow_then_fast,positive,True,True,76.00137436357059,70.0,19,19,1.0,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,核心段前半慢、后半快，模拟用户完成核心动作时加速。
跳,jump_relation_core_pause_0.25,positive,True,True,87.93448697486814,70.0,22,19,1.1578947368421053,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,False,passed,核心段有短暂停顿，但动作起止和关键形态完整。
跳,jump_relation_core_fast_0.45x_diagnostic,diagnostic,False,True,80.12846947400719,,13,19,0.6842105263157895,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,核心段极度压缩，作为快动作/欠采样边界。
跳,jump_relation_core_gap_0.45_diagnostic,diagnostic,False,True,80.30290418663675,,14,19,0.7368421052631579,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,核心段中部被跳过，记录缺核心边界，不作为普通速率鲁棒性。
跳,jump_relation_core_slow_1.55x_diagnostic,diagnostic,False,True,23.50196899110418,,25,19,1.3157894736842106,semantic_action_window,needs_recapture,jump_two_hand_presence_low,,insufficient_two_hand_presence,False,passed,跳的核心段强拉伸会触发两手关系覆盖边界，只记录诊断。
