word,variant,kind,gated,passed,score,min_score,max_score,occlusion_pattern,occluded_groups,occluded_landmarks,occlusion_frame_count,occlusion_ratio,occluded_visible_points,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,flower_opening_score,flower_opening_passed,rationale
花,self_recomputed,positive,True,True,100.0,95.0,,none,,,0,0.0,0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,0.9847862851619722,True,标准序列剥离基础组后重建 motion/relation 特征，应保持近满分。
花,right_single_palm_anchor,positive,True,True,99.23241386480686,70.0,,single_mid,right_hand,"0,1,5,9,13,17",1,0.018867924528301886,6,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,0.9847862851619722,True,开花核心手单帧 wrist/MCP palm anchors 丢失，模拟网页短时追踪断点。
花,right_sparse_palm_anchor,positive,True,True,98.64506076400042,70.0,,sparse_every_7th,right_hand,"0,1,5,9,13,17",8,0.1509433962264151,36,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,0.980391128063202,True,开花核心手稀疏 palm-anchor mask 闪断，指尖和开合过程仍可见。
花,right_middle20_mcp_anchor,positive,True,True,95.85314364730884,70.0,,middle_20pct,right_hand,"5,9,13,17",11,0.20754716981132076,44,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,0.9847862851619722,True,开花核心手中段 20% MCP 锚点不可见，仍应由可见指尖/时序恢复。
花,right_middle20_wrist_mcp_anchor,positive,True,True,95.79107651200947,70.0,,middle_20pct,right_hand,"0,5,9,13,17",11,0.20754716981132076,55,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,0.9847862851619722,True,开花核心手中段 20% wrist+MCP 锚点不可见，作为强正向容错门。
花,right_core40_palm_anchor_diagnostic,diagnostic,False,True,76.06856565982804,,,core_40pct,right_hand,"0,1,5,9,13,17",21,0.39622641509433965,126,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,0.45,True,核心段 40% palm anchors 缺失属于边界情况，记录分数但不设硬门。
花,right_all_palm_anchor_negative,negative,True,True,11.047690727163193,,45.0,all,right_hand,"0,1,5,9,13,17",53,1.0,240,full_sequence_with_action_window_diagnostics,semantic_mismatch,flower_opening_guard_failed,short_visible_core,query_not_short_core_capture,0.0,False,开花核心掌根/手指根部全程不可见，不能被当作完整花动作。
花,right_all_mcp_anchor_negative,negative,True,True,11.140048006145065,,45.0,all,right_hand,"5,9,13,17",53,1.0,160,full_sequence_with_action_window_diagnostics,semantic_mismatch,flower_opening_guard_failed,short_visible_core,query_not_short_core_capture,0.0,False,开花核心 MCP 全程不可见时，开合语义不可靠，必须低分或语义失败。
跳,self_recomputed,positive,True,True,100.0,95.0,,none,,,0,0.0,0,semantic_action_window,score_valid,score_valid,action_window_net,used,,True,标准序列剥离基础组后重建 motion/relation 特征，应保持近满分。
跳,right_single_palm_anchor,positive,True,True,81.56637489990057,70.0,,single_mid,right_hand,"0,1,5,9,13,17",1,0.05263157894736842,6,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,,True,右手两指小人单帧 palm anchors 丢失，跳跃关系仍应可评分。
跳,right_sparse_palm_anchor,positive,True,True,70.46895751687171,70.0,,sparse_every_7th,right_hand,"0,1,5,9,13,17",3,0.15789473684210525,18,semantic_action_window,score_valid,score_valid,action_window_net,used,,True,右手两指小人稀疏掌根锚点闪断，双手关系仍保留。
跳,right_middle20_mcp_anchor,positive,True,True,74.62943369374624,70.0,,middle_20pct,right_hand,"5,9,13,17",3,0.15789473684210525,12,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,,True,右手中段 20% MCP 锚点不可见，但食指/中指和相对运动仍可见。
跳,right_middle20_wrist_mcp_anchor,positive,True,True,74.62943369374624,70.0,,middle_20pct,right_hand,"0,5,9,13,17",3,0.15789473684210525,15,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,,True,右手中段 20% wrist+MCP 锚点不可见，验证关系 fallback 的稳定性。
跳,left_single_palm_anchor,positive,True,True,87.41999027525732,70.0,,single_mid,left_hand,"0,1,5,9,13,17",1,0.05263157894736842,6,semantic_action_window,score_valid,score_valid,action_window_net,used,,True,左手地面单帧 palm anchors 丢失，地面关系不应整体失败。
跳,left_sparse_palm_anchor,positive,True,True,70.46895751687171,70.0,,sparse_every_7th,left_hand,"0,1,5,9,13,17",3,0.15789473684210525,18,semantic_action_window,score_valid,score_valid,action_window_net,used,,True,左手地面稀疏 palm-anchor mask 闪断，双手关系仍应通过。
