word,variant,kind,gated,passed,score,min_score,groups,pattern,mode,amplitude,period,changed_frames,changed_visible_points,value_min,value_max,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,"pose,left_hand,right_hand,face",none,offset,0.0,1,0,0,0.0,0.0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,smooth_global_z_offset_0.08,positive,True,True,82.0262030985984,70.0,"pose,left_hand,right_hand,face",smooth,offset,0.08,1,50,1848,-0.08,0.08,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整人 z 坐标随时间平滑呼吸 8%，模拟 webcam/Holistic 深度零点漂移。
花,smooth_global_z_scale_0.20,positive,True,True,81.40807077213034,70.0,"pose,left_hand,right_hand,face",smooth,scale,0.2,1,50,1848,-0.2,0.2,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整人 z 动态随时间在 0.8-1.2 倍之间平滑变化。
花,smooth_hand_z_offset_0.06,positive,True,True,82.07051174953413,70.0,"left_hand,right_hand",smooth,offset,0.06,1,50,798,-0.06,0.06,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手 z 坐标随时间平滑漂移，模拟手离镜头距离估计轻微波动。
花,smooth_hand_z_scale_0.20,positive,True,True,81.40807077213034,70.0,"left_hand,right_hand",smooth,scale,0.2,1,50,798,-0.2,0.2,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手局部 z 动态随时间平滑缩放，并重建手形特征。
花,sparse_hand_z_offset_0.06_every_5f,positive,True,True,98.02137794717133,70.0,"left_hand,right_hand",sparse,offset,0.06,5,10,147,-0.06,0.06,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,少量帧出现手部 z 跳动，模拟 tracker 深度闪断。
花,right_hand_smooth_z_offset_0.05,positive,True,True,82.09255078000982,70.0,right_hand,smooth,offset,0.05,1,50,798,-0.05,0.05,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手核心手随时间轻微 z 漂移，验证单手深度抖动不压低语义分。
花,strong_global_z_offset_0.25_diagnostic,diagnostic,False,True,81.63385864421797,,"pose,left_hand,right_hand,face",smooth,offset,0.25,1,50,1848,-0.25,0.25,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,强整人 z 零点漂移不作为正常网页要求，只记录诊断边界。
花,strong_hand_z_scale_0.55_diagnostic,diagnostic,False,True,79.86891576563403,,"left_hand,right_hand",smooth,scale,0.55,1,50,798,-0.55,0.55,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,强手部 z 动态缩放会改变局部手形，只记录诊断边界。
花,strong_sparse_hand_z_offset_0.18_every_4f_diagnostic,diagnostic,False,True,96.31222976115055,,"left_hand,right_hand",sparse,offset,0.18,4,13,210,-0.18,0.18,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,强稀疏手部 z 跳点只记录诊断边界。
