word,variant,kind,gated,passed,score,min_score,groups,pattern,mode,amplitude,period,sx_min,sx_max,sy_min,sy_max,changed_frames,changed_visible_points,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,"[""left_hand"", ""right_hand""]",none,uniform_xy,0.0,1,1.0,1.0,1.0,1.0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,both_hands_smooth_uniform_breathing_0.10,positive,True,True,82.07709443182962,70.0,"[""left_hand"", ""right_hand""]",smooth,uniform_xy,0.1,1,0.9,1.1,0.9,1.1,50,798,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手局部检测框随时间平滑放大/缩小 10%，模拟 detector box breathing。
花,both_hands_smooth_aspect_breathing_0.10,positive,True,True,81.931592051457,70.0,"[""left_hand"", ""right_hand""]",smooth,aspect_xy,0.1,1,0.9,1.1,0.9,1.1,50,798,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手局部 x/y 尺度反向平滑漂移 10%，模拟透视和检测框宽高抖动。
花,right_hand_smooth_uniform_breathing_0.12,positive,True,True,82.05228970268342,70.0,"[""right_hand""]",smooth,uniform_xy,0.12,1,0.88,1.12,0.88,1.12,50,798,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手核心手局部检测框平滑呼吸 12%，不应破坏花开或跳跃核心证据。
花,right_hand_sparse_scale_flicker_0.12_every_5f,positive,True,True,98.49007123459627,70.0,"[""right_hand""]",sparse,uniform_xy,0.12,5,0.88,1.12,0.88,1.12,10,147,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,少量帧右手局部尺度正负 12% 尖峰，模拟短时 detector scale flicker。
花,left_hand_sparse_scale_flicker_0.12_every_5f,positive,True,True,100.0,70.0,"[""left_hand""]",sparse,uniform_xy,0.12,5,0.88,1.12,0.88,1.12,10,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,少量帧左手局部尺度正负 12% 尖峰，覆盖跳的地面手和花的非核心手。
花,both_hands_sparse_aspect_flicker_0.10_every_6f,positive,True,True,98.0782764440444,70.0,"[""left_hand"", ""right_hand""]",sparse,aspect_xy,0.1,6,0.9,1.1,0.9,1.1,9,168,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手少量帧 x/y 宽高反向 flicker 10%，模拟网页上传帧中的检测框宽高抖动。
花,both_hands_strong_smooth_uniform_breathing_0.35_diagnostic,diagnostic,False,True,81.7703673312463,,"[""left_hand"", ""right_hand""]",smooth,uniform_xy,0.35,1,0.65,1.35,0.65,1.35,50,798,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手平滑尺度呼吸 35% 属于强边界，只记录诊断分数。
花,both_hands_strong_smooth_aspect_breathing_0.35_diagnostic,diagnostic,False,True,81.39547579523312,,"[""left_hand"", ""right_hand""]",smooth,aspect_xy,0.35,1,0.65,1.35,0.65,1.35,50,798,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手 x/y 尺度反向平滑漂移 35% 属于强透视边界，只记录诊断分数。
花,right_hand_sparse_scale_spike_0.45_every_4f_diagnostic,diagnostic,False,True,95.72307393609279,,"[""right_hand""]",sparse,uniform_xy,0.45,4,0.55,1.45,0.55,1.45,13,210,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手少量帧尺度正负 45% 尖峰不是正常轻微抖动，只记录诊断分数。
花,both_hands_sparse_aspect_spike_0.45_every_4f_diagnostic,diagnostic,False,True,88.17559947417229,,"[""left_hand"", ""right_hand""]",sparse,aspect_xy,0.45,4,0.55,1.45,0.55,1.45,13,210,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手少量帧宽高强尖峰属于 detector 严重不稳定，只记录诊断分数。
跳,self_recomputed,positive,True,True,100.0,95.0,"[""left_hand"", ""right_hand""]",none,uniform_xy,0.0,1,1.0,1.0,1.0,1.0,0,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,both_hands_smooth_uniform_breathing_0.10,positive,True,True,97.40711065691593,70.0,"[""left_hand"", ""right_hand""]",smooth,uniform_xy,0.1,1,0.9015192246987792,1.098480775301221,0.9015192246987792,1.098480775301221,16,609,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手局部检测框随时间平滑放大/缩小 10%，模拟 detector box breathing。
跳,both_hands_smooth_aspect_breathing_0.10,positive,True,True,94.62173118639973,70.0,"[""left_hand"", ""right_hand""]",smooth,aspect_xy,0.1,1,0.9015192246987792,1.098480775301221,0.9015192246987792,1.098480775301221,16,609,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手局部 x/y 尺度反向平滑漂移 10%，模拟透视和检测框宽高抖动。
跳,right_hand_smooth_uniform_breathing_0.12,positive,True,True,97.86609858704965,70.0,"[""right_hand""]",smooth,uniform_xy,0.12,1,0.8818230696385351,1.118176930361465,0.8818230696385351,1.118176930361465,16,315,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手核心手局部检测框平滑呼吸 12%，不应破坏花开或跳跃核心证据。
跳,right_hand_sparse_scale_flicker_0.12_every_5f,positive,True,True,99.25489672076121,70.0,"[""right_hand""]",sparse,uniform_xy,0.12,5,0.88,1.12,0.88,1.12,4,84,19,semantic_action_window,score_valid,score_valid,action_window_net,used,少量帧右手局部尺度正负 12% 尖峰，模拟短时 detector scale flicker。
跳,left_hand_sparse_scale_flicker_0.12_every_5f,positive,True,True,99.39804089698414,70.0,"[""left_hand""]",sparse,uniform_xy,0.12,5,0.88,1.12,0.88,1.12,4,63,19,semantic_action_window,score_valid,score_valid,action_window_net,used,少量帧左手局部尺度正负 12% 尖峰，覆盖跳的地面手和花的非核心手。
跳,both_hands_sparse_aspect_flicker_0.10_every_6f,positive,True,True,78.45166291196792,70.0,"[""left_hand"", ""right_hand""]",sparse,aspect_xy,0.1,6,0.9,1.1,0.9,1.1,3,126,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手少量帧 x/y 宽高反向 flicker 10%，模拟网页上传帧中的检测框宽高抖动。
跳,both_hands_strong_smooth_uniform_breathing_0.35_diagnostic,diagnostic,False,True,74.62302316444135,,"[""left_hand"", ""right_hand""]",smooth,uniform_xy,0.35,1,0.6553172864457272,1.3446827135542727,0.6553172864457272,1.3446827135542727,16,609,19,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,双手平滑尺度呼吸 35% 属于强边界，只记录诊断分数。
跳,both_hands_strong_smooth_aspect_breathing_0.35_diagnostic,diagnostic,False,True,83.60674918139095,,"[""left_hand"", ""right_hand""]",smooth,aspect_xy,0.35,1,0.6553172864457272,1.3446827135542727,0.6553172864457273,1.3446827135542727,16,609,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手 x/y 尺度反向平滑漂移 35% 属于强透视边界，只记录诊断分数。
跳,right_hand_sparse_scale_spike_0.45_every_4f_diagnostic,diagnostic,False,True,95.00714584820268,,"[""right_hand""]",sparse,uniform_xy,0.45,4,0.55,1.45,0.55,1.45,4,84,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手少量帧尺度正负 45% 尖峰不是正常轻微抖动，只记录诊断分数。
跳,both_hands_sparse_aspect_spike_0.45_every_4f_diagnostic,diagnostic,False,True,84.39365438386218,,"[""left_hand"", ""right_hand""]",sparse,aspect_xy,0.45,4,0.55,1.45,0.55,1.45,4,126,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手少量帧宽高强尖峰属于 detector 严重不稳定，只记录诊断分数。
