word,variant,kind,passed,score,min_score,spike_mode,spike_frame_count,spike_ratio,dtw_distance,normalized_distance,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,100.0,95.0,none,0,0.0,0.0,0.0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 motion/relation 特征，应保持近满分。
花,single_frame_whole_hand_spike,positive,True,99.4295860184342,90.0,whole_hand_translation,1,0.018867924528301886,0.0009072794820087839,0.0014191998934410767,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,单帧整手跳点属于 Holistic 短时检测抖动，应保持可评分。
花,single_frame_tip_spike,positive,True,98.88700620195337,90.0,one_tip_spike,1,0.018867924528301886,0.0010640401720238247,0.002314515293868294,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,单帧食指/中指 tip 跳点不应破坏完整正确动作。
花,sparse_tip_spike_every_7th,positive,True,92.77227771712786,85.0,one_tip_spike,8,0.1509433962264151,0.00565780614556991,0.014555810731244512,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,稀疏 fingertip 跳点应靠 DTW/时序冗余保持正常或边界评分。
花,middle_20pct_all_tip_spike_diagnostic,diagnostic,True,96.47662211913772,,all_tip_spike,11,0.20754716981132076,0.00950312667693512,0.011378104739645857,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,连续核心片段多 fingertip 跳点属于边界诊断，不作为正向门。
花,alternating_tip_spike_diagnostic,diagnostic,True,21.40042986905135,,all_tip_spike,26,0.49056603773584906,0.016312755030333446,0.18501110121878223,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,交替半数帧 tip 跳点过强，只记录评分边界。
花,middle_20pct_visible_shuffle_diagnostic,diagnostic,True,75.25922350982566,,visible_shuffle,11,0.20754716981132076,0.01111007830770757,0.048435150055139875,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,连续片段 landmark 顺序扰动是严重检测错误，只作诊断。
跳,self_recomputed,positive,True,100.0,95.0,none,0,0.0,0.0,0.0,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 motion/relation 特征，应保持近满分。
跳,single_frame_whole_hand_spike,positive,True,78.21500280180041,70.0,whole_hand_translation,1,0.05263157894736842,0.04572931669516252,0.05770341082969612,semantic_action_window,score_valid,score_valid,action_window_net,used,单帧整手跳点属于 Holistic 短时检测抖动，应保持可评分。
跳,single_frame_tip_spike,positive,True,70.46895751687171,70.0,one_tip_spike,1,0.05263157894736842,0.06042431760320072,0.1237652936835317,semantic_action_window,score_valid,score_valid,action_window_net,used,单帧食指/中指 tip 跳点不应破坏完整正确动作。
跳,sparse_tip_spike_every_7th,positive,True,76.25649032434013,70.0,one_tip_spike,3,0.15789473684210525,0.07248055203416424,0.18270877232777116,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,稀疏 fingertip 跳点应靠 DTW/时序冗余保持正常或边界评分。
跳,middle_20pct_all_tip_spike_diagnostic,diagnostic,True,84.58735174804502,,all_tip_spike,3,0.15789473684210525,0.09107615096187212,0.14475010513128983,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,连续核心片段多 fingertip 跳点属于边界诊断，不作为正向门。
跳,alternating_tip_spike_diagnostic,diagnostic,True,82.3015873015873,,all_tip_spike,9,0.47368421052631576,0.08306909764517388,0.22086657993561926,semantic_action_window,score_valid,score_valid,action_window_net,used,交替半数帧 tip 跳点过强，只记录评分边界。
跳,middle_20pct_visible_shuffle_diagnostic,diagnostic,True,84.58735174804502,,visible_shuffle,3,0.15789473684210525,0.1004913100911603,0.21295778284519706,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,连续片段 landmark 顺序扰动是严重检测错误，只作诊断。
