word,variant,kind,gated,passed,score,min_score,group,pairs,pattern,changed_frames,changed_visible_points,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,right_hand,[],all,40,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,right_index_middle_chain_swap,positive,True,True,79.04260157742026,70.0,right_hand,"[[""index"", ""middle""]]",all,40,320,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手 index/middle 相邻指链全程交换，模拟手小或重叠时的相邻手指身份混淆。
花,right_middle_ring_chain_swap,positive,True,True,80.38514274653453,70.0,right_hand,"[[""middle"", ""ring""]]",all,40,320,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手 middle/ring 相邻指链全程交换，整体绽放手形仍应可评分。
花,right_ring_pinky_chain_swap,positive,True,True,80.6604305852758,70.0,right_hand,"[[""ring"", ""pinky""]]",all,40,320,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手 ring/pinky 相邻指链交换，覆盖外侧手指标签混淆。
花,right_index_middle_sparse_jitter,positive,True,True,93.64743088154329,70.0,right_hand,"[[""index"", ""middle""]]",sparse_every_6th,7,56,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,少量帧 index/middle 指链身份抖动，属于可容忍的 detector 局部不稳定。
花,right_middle_ring_sparse_jitter,positive,True,True,96.25999383412255,70.0,right_hand,"[[""middle"", ""ring""]]",sparse_every_6th,7,56,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,少量帧 middle/ring 指链身份抖动，绽放动态仍应保留。
花,right_index_middle_middle_25pct,positive,True,True,96.08680441257296,70.0,right_hand,"[[""index"", ""middle""]]",middle_25pct,14,112,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,核心中段 25% index/middle 身份抖动，验证手形/DTW 对短时拓扑标签抖动的吸收。
花,right_adjacent_wave_diagnostic,diagnostic,False,True,78.4013551811092,,right_hand,"[[""index"", ""middle""], [""ring"", ""pinky""]]",all,40,640,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,两组相邻指链全程交换属于强边界，仅记录诊断分数。
花,right_index_ring_diagnostic,diagnostic,False,True,77.0348706809885,,right_hand,"[[""index"", ""ring""]]",all,40,320,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,非相邻 index/ring 指链交换不是正常轻微混淆，仅记录边界。
花,right_thumb_index_diagnostic,diagnostic,False,True,79.09549824293872,,right_hand,"[[""thumb"", ""index""]]",all,40,320,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,thumb/index 交换会改变手形拓扑，仅记录诊断边界。
跳,self_recomputed,positive,True,True,100.0,95.0,right_hand,[],all,17,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,right_index_middle_chain_swap,positive,True,True,82.3015873015873,70.0,right_hand,"[[""index"", ""middle""]]",all,17,136,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手两指小人的 index/middle 互换不应破坏两指语义。
跳,right_middle_ring_chain_swap,positive,True,True,81.78530286309552,70.0,right_hand,"[[""middle"", ""ring""]]",all,17,136,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手 middle/ring 相邻指链混淆仍应保留跳跃主关系。
跳,right_ring_pinky_chain_swap,positive,True,True,84.37174956101563,70.0,right_hand,"[[""ring"", ""pinky""]]",all,17,136,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手非核心外侧相邻指链混淆应保持高分。
跳,right_index_middle_sparse_jitter,positive,True,True,76.21149241847434,70.0,right_hand,"[[""index"", ""middle""]]",sparse_every_6th,3,24,19,semantic_action_window,score_valid,score_valid,action_window_net,used,短序列中少量帧 index/middle 身份抖动，仍应保留可评分跳跃证据。
跳,right_middle_ring_sparse_jitter,positive,True,True,71.89222180151273,70.0,right_hand,"[[""middle"", ""ring""]]",sparse_every_6th,3,24,19,semantic_action_window,score_valid,score_valid,action_window_net,used,短序列中少量帧 middle/ring 身份抖动，作为 `跳` 的弱边界正向门。
跳,right_index_middle_middle_25pct,positive,True,True,73.03202084653721,70.0,right_hand,"[[""index"", ""middle""]]",middle_25pct,4,32,19,semantic_action_window,score_valid,score_valid,action_window_net,used,核心中段 25% index/middle 身份抖动，local relation fallback 仍应可恢复。
跳,left_index_middle_chain_swap,positive,True,True,98.22730889227755,70.0,left_hand,"[[""index"", ""middle""]]",all,16,128,19,semantic_action_window,score_valid,score_valid,action_window_net,used,左手地面手形的 index/middle 标签互换不应破坏地面支撑语义。
跳,left_middle_ring_sparse_jitter,positive,True,True,99.26865886390975,70.0,left_hand,"[[""middle"", ""ring""]]",sparse_every_6th,2,16,19,semantic_action_window,score_valid,score_valid,action_window_net,used,左手地面少量帧 middle/ring 身份抖动仍应保持高分。
