word,variant,kind,gated,passed,score,min_score,occlusion_pattern,occluded_groups,occluded_landmarks,occlusion_frame_count,occlusion_ratio,occluded_visible_points,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,none,,,0,0.0,0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 motion/relation 特征，应保持近满分。
花,right_single_all_inner_joints,positive,True,True,99.91846806572158,70.0,single_mid,right_hand,"2,3,6,7,10,11,14,15,18,19",1,0.018867924528301886,10,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手单帧 PIP/DIP/thumb-IP 等中段指节丢失，模拟短时遮挡。
花,right_sparse_index_middle_inner_joints,positive,True,True,99.85440026848865,70.0,sparse_every_7th,right_hand,"6,7,10,11",8,0.1509433962264151,24,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花右手食指/中指中段指节稀疏闪断，指尖和掌根仍可见。
花,right_sparse_all_inner_joints,positive,True,True,99.43702783854746,70.0,sparse_every_7th,right_hand,"2,3,6,7,10,11,14,15,18,19",8,0.1509433962264151,60,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花右手所有中段指节稀疏闪断，验证 hand-shape mask 的时序冗余。
花,right_middle20_index_middle_inner_joints,positive,True,True,99.67536587725112,70.0,middle_20pct,right_hand,"6,7,10,11",11,0.20754716981132076,44,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花动作中段 20% 食指/中指中段指节不可见，开合语义仍应可恢复。
花,right_middle20_ring_pinky_inner_joints,positive,True,True,99.70576090156054,70.0,middle_20pct,right_hand,"14,15,18,19",11,0.20754716981132076,44,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花动作中段 20% 无名指/小指中段指节不可见，整体绽放仍应可评分。
花,right_middle20_all_inner_joints_diagnostic,diagnostic,False,True,99.11940260125533,,middle_20pct,right_hand,"2,3,6,7,10,11,14,15,18,19",11,0.20754716981132076,110,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,中段 20% 全中段指节缺失偏强，记录边界但不作为正常网页采集要求。
花,right_core40_all_inner_joints_diagnostic,diagnostic,False,True,98.4972428889541,,core_40pct,right_hand,"2,3,6,7,10,11,14,15,18,19",21,0.39622641509433965,210,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,核心段 40% 全中段指节缺失属于强遮挡边界，只作诊断记录。
花,right_all_inner_joints_diagnostic,diagnostic,False,True,97.5591025924727,,all,right_hand,"2,3,6,7,10,11,14,15,18,19",53,1.0,400,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,全程中段指节缺失时仍有指尖/掌根可见，记录模型解释边界而非硬负例。
跳,self_recomputed,positive,True,True,100.0,95.0,none,,,0,0.0,0,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 motion/relation 特征，应保持近满分。
跳,right_single_index_middle_inner_joints,positive,True,True,98.59862662845055,70.0,single_mid,right_hand,"6,7,10,11",1,0.05263157894736842,4,semantic_action_window,score_valid,score_valid,action_window_net,used,右手两指小人单帧食指/中指中段指节丢失，跳跃关系仍应可评分。
跳,right_sparse_index_middle_inner_joints,positive,True,True,97.17363420846303,70.0,sparse_every_7th,right_hand,"6,7,10,11",3,0.15789473684210525,12,semantic_action_window,score_valid,score_valid,action_window_net,used,右手两指小人食指/中指中段指节稀疏闪断，应由时序和指尖/掌根补偿。
跳,right_middle20_index_middle_inner_joints,positive,True,True,76.63804833681512,70.0,middle_20pct,right_hand,"6,7,10,11",3,0.15789473684210525,12,semantic_action_window,score_valid,score_valid,action_window_net,used,右手动作中段 20% 两指中段指节不可见，双手关系和两指轮廓仍应保留。
跳,left_single_all_inner_joints,positive,True,True,98.19752755907305,70.0,single_mid,left_hand,"2,3,6,7,10,11,14,15,18,19",1,0.05263157894736842,10,semantic_action_window,score_valid,score_valid,action_window_net,used,左手地面单帧中段指节丢失，地面手仍应通过掌根/指尖维持。
跳,left_sparse_all_inner_joints,positive,True,True,96.24600196371878,70.0,sparse_every_7th,left_hand,"2,3,6,7,10,11,14,15,18,19",3,0.15789473684210525,30,semantic_action_window,score_valid,score_valid,action_window_net,used,左手地面中段指节稀疏闪断，不应导致跳跃双手关系整体失败。
跳,left_middle20_all_inner_joints,positive,True,True,94.89242028416317,70.0,middle_20pct,left_hand,"2,3,6,7,10,11,14,15,18,19",3,0.15789473684210525,30,semantic_action_window,score_valid,score_valid,action_window_net,used,左手地面中段 20% 指节不可见，右手弹跳语义仍应正常。
跳,right_core40_index_middle_inner_joints_diagnostic,diagnostic,False,True,70.46895751687171,,core_40pct,right_hand,"6,7,10,11",7,0.3684210526315789,28,semantic_action_window,score_valid,score_valid,action_window_net,used,右手两指中段指节核心段 40% 缺失偏强，只记录诊断边界。
跳,left_core40_all_inner_joints_diagnostic,diagnostic,False,True,91.73280739936409,,core_40pct,left_hand,"2,3,6,7,10,11,14,15,18,19",7,0.3684210526315789,60,semantic_action_window,score_valid,score_valid,action_window_net,used,左手地面核心段 40% 中段指节缺失偏强，只记录诊断边界。
跳,right_all_index_middle_inner_joints_diagnostic,diagnostic,False,True,70.46895751687171,,all,right_hand,"6,7,10,11",19,1.0,68,semantic_action_window,score_valid,score_valid,action_window_net,used,右手两指中段指节全程缺失时仍有指尖/掌根可见，记录解释边界。
