word,variant,kind,gated,passed,score,min_score,pattern,mode,amplitude,period,scale_min,scale_max,dx_min,dx_max,dy_min,dy_max,changed_frames,changed_visible_points,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,none,pan_x,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,smooth_global_pan_x_0.06,positive,True,True,82.06954583565803,70.0,smooth,pan_x,0.06,1,1.0,1.0,-0.06,0.06,0.0,0.0,50,1848,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整人画面随时间平滑横向漂移 6%，模拟电子防抖或用户身体轻微平移。
花,smooth_global_pan_y_0.06,positive,True,True,82.06635127752472,70.0,smooth,pan_y,0.06,1,1.0,1.0,0.0,0.0,-0.06,0.06,50,1848,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整人画面随时间平滑纵向漂移 6%，模拟自动取景中心慢漂。
花,smooth_global_zoom_0.08,positive,True,True,81.91863075301683,70.0,smooth,zoom,0.08,1,0.92,1.08,0.0,0.0,0.0,0.0,50,1848,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整人画面随时间 0.92-1.08 倍平滑缩放，模拟用户前后轻微移动或自动取景 zoom。
花,smooth_global_zoom_pan_diag_0.06,positive,True,True,81.99458801656372,70.0,smooth,zoom_pan_diag,0.06,1,0.94,1.06,-0.033,0.033,-0.020999999999999998,0.020999999999999998,50,1848,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整人画面同时有轻微缩放和对角漂移，模拟自动取景合成扰动。
花,sparse_global_pan_diag_0.05_every_5f,positive,True,True,98.2752443805377,70.0,sparse,pan_diag,0.05,5,1.0,1.0,-0.05,0.05,-0.0325,0.0325,10,357,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,少量帧整人画面中心出现 5% 对角跳动，模拟防抖/裁剪中心短时修正。
花,sparse_global_zoom_0.06_every_6f,positive,True,True,98.03323102541802,70.0,sparse,zoom,0.06,6,0.94,1.06,0.0,0.0,0.0,0.0,9,357,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,少量帧整人画面出现 6% zoom 跳点，完整动作语义仍应可评分。
花,strong_smooth_global_pan_y_0.22_diagnostic,diagnostic,False,True,81.67070619883657,,smooth,pan_y,0.22,1,1.0,1.0,0.0,0.0,-0.22,0.22,50,1848,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整人画面平滑大幅纵向漂移 22% 属于强边界，只记录诊断分数。
花,strong_smooth_global_zoom_0.35_diagnostic,diagnostic,False,True,80.90868787204451,,smooth,zoom,0.35,1,0.65,1.35,0.0,0.0,0.0,0.0,50,1848,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整人画面 0.65-1.35 倍平滑 zoom 属于强边界，只记录诊断分数。
花,strong_sparse_global_zoom_pan_0.18_every_4f_diagnostic,diagnostic,False,True,95.668142289492,,sparse,zoom_pan_diag,0.18,4,0.8200000000000001,1.18,-0.099,0.099,-0.063,0.063,13,483,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,少量帧大幅 zoom+pan 跳点不是正常轻微自动取景，只记录诊断分数。
跳,self_recomputed,positive,True,True,100.0,95.0,none,pan_x,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,smooth_global_pan_x_0.06,positive,True,True,99.27185879647041,70.0,smooth,pan_x,0.06,1,1.0,1.0,-0.059088465180732484,0.05908846518073248,0.0,0.0,16,945,19,semantic_action_window,score_valid,score_valid,action_window_net,used,整人画面随时间平滑横向漂移 6%，模拟电子防抖或用户身体轻微平移。
