word,variant,kind,passed,score,min_score,max_score,query_length,length_ratio,alignment_policy,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,slow_start_fast_end,positive,True,96.05551981932945,70.0,,53,1.0,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,动作相位单调但前段慢、后段快。
花,fast_start_slow_end,positive,True,93.08210895996825,70.0,,53,1.0,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,动作相位单调但前段快、后段慢。
花,ease_in_out,positive,True,94.33917688874139,70.0,,53,1.0,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,自然加速再减速，核心语义顺序不变。
花,ordered_jitter,positive,True,79.41015226303263,68.0,,53,1.0,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,轻微采样抖动但整体相位顺序不变。
花,middle_hold_30pct,positive,True,97.46410507754484,70.0,,69,1.3018867924528301,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,核心姿态附近短暂停留，但完整动作仍在。
花,reverse_full,negative,True,14.024256720720635,,50.0,53,1.0,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",semantic_mismatch,flower_opening_guard_failed,short_visible_core,query_not_short_core_capture,完整倒放，动作语义起终点和方向相反。
花,swap_halves,negative,True,28.940604262312082,,50.0,53,1.0,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",semantic_mismatch,flower_opening_guard_failed,short_visible_core,query_not_short_core_capture,前后半段错序，语义相位不连续。
花,scramble_three_phases,negative,True,33.72280062587298,,50.0,53,1.0,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",semantic_mismatch,flower_opening_guard_failed,short_visible_core,query_not_short_core_capture,结束、中段、开始三相位乱序。
跳,slow_start_fast_end,positive,True,96.6180208928681,70.0,,19,1.0,"{'mode': 'semantic_action_window', 'used_action_window_for_scoring': True, 'reason': 'short_standard_action_window', 'word': '跳', 'standard_full_length': 19, 'standard_action_length': 9, 'standard_action_ratio': 0.47368421052631576}",score_valid,score_valid,action_window_net,used,动作相位单调但前段慢、后段快。
跳,fast_start_slow_end,positive,True,79.5241007800524,70.0,,19,1.0,"{'mode': 'semantic_action_window', 'used_action_window_for_scoring': True, 'reason': 'short_standard_action_window', 'word': '跳', 'standard_full_length': 19, 'standard_action_length': 9, 'standard_action_ratio': 0.47368421052631576}",score_valid,score_valid,action_window_net,used,动作相位单调但前段快、后段慢。
跳,ease_in_out,positive,True,77.24809414062129,70.0,,19,1.0,"{'mode': 'semantic_action_window', 'used_action_window_for_scoring': True, 'reason': 'short_standard_action_window', 'word': '跳', 'standard_full_length': 19, 'standard_action_length': 9, 'standard_action_ratio': 0.47368421052631576}",score_valid,score_valid,action_window_net,used,自然加速再减速，核心语义顺序不变。
跳,ordered_jitter,positive,True,69.38869717884872,68.0,,19,1.0,"{'mode': 'semantic_action_window', 'used_action_window_for_scoring': True, 'reason': 'short_standard_action_window', 'word': '跳', 'standard_full_length': 19, 'standard_action_length': 9, 'standard_action_ratio': 0.47368421052631576}",score_valid,score_valid,full_sequence_local_relation_segment,used,轻微采样抖动但整体相位顺序不变。
跳,middle_hold_30pct,positive,True,93.73829187843755,70.0,,25,1.3157894736842106,"{'mode': 'semantic_action_window', 'used_action_window_for_scoring': True, 'reason': 'short_standard_action_window', 'word': '跳', 'standard_full_length': 19, 'standard_action_length': 9, 'standard_action_ratio': 0.47368421052631576}",score_valid,score_valid,full_sequence_local_relation_segment,used,核心姿态附近短暂停留，但完整动作仍在。
跳,reverse_full,negative,True,20.524851148408747,,50.0,19,1.0,"{'mode': 'semantic_action_window', 'used_action_window_for_scoring': True, 'reason': 'short_standard_action_window', 'word': '跳', 'standard_full_length': 19, 'standard_action_length': 9, 'standard_action_ratio': 0.47368421052631576}",semantic_mismatch,phase_endpoint_order_mismatch,,phase_endpoint_order_mismatch,完整倒放，动作语义起终点和方向相反。
跳,swap_halves,negative,True,47.27731346644483,,50.0,19,1.0,"{'mode': 'semantic_action_window', 'used_action_window_for_scoring': True, 'reason': 'short_standard_action_window', 'word': '跳', 'standard_full_length': 19, 'standard_action_length': 9, 'standard_action_ratio': 0.47368421052631576}",semantic_mismatch,phase_endpoint_order_mismatch,,phase_endpoint_order_mismatch,前后半段错序，语义相位不连续。
跳,scramble_three_phases,negative,True,25.52129768782962,,50.0,19,1.0,"{'mode': 'semantic_action_window', 'used_action_window_for_scoring': True, 'reason': 'short_standard_action_window', 'word': '跳', 'standard_full_length': 19, 'standard_action_length': 9, 'standard_action_ratio': 0.47368421052631576}",semantic_mismatch,phase_endpoint_order_mismatch,,phase_endpoint_order_mismatch,结束、中段、开始三相位乱序。
