word,variant,kind,gated,passed,score,min_score,max_score,offset,y_amplitude_factor,x_from_y,reverse_y,relation_jitter,changed_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,,"0.0,0.0,0.0",,0.0,False,0.0,0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,剥离基础组后重建 relation/motion 特征，应保持近满分。
花,right_relation_offset_up_0.15,positive,True,True,81.45694150142337,70.0,,"0.0,-0.15,0.0",,0.0,False,0.0,40,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手整体相对左手略高，模拟用户起手/镜头位置差异。
花,right_relation_offset_down_0.15,positive,True,True,81.45694106933597,70.0,,"0.0,0.15,0.0",,0.0,False,0.0,40,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手整体相对左手略低，模拟手势位置差异。
花,right_relation_offset_x_0.15,positive,True,True,81.4569413583807,70.0,,"0.15,0.0,0.0",,0.0,False,0.0,40,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手整体横向间距略变，核心动作和手形仍保留。
花,right_relation_y_amplitude_0.70,positive,True,True,81.25199520923103,70.0,,"0.0,0.0,0.0",0.7,0.0,False,0.0,40,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手相对运动高度缩小到 70%，仍应保持可评分。
花,right_relation_y_amplitude_1.35,positive,True,True,81.21123986816703,70.0,,"0.0,0.0,0.0",1.35,0.0,False,0.0,40,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手相对运动高度放大到 135%，仍应保持可评分。
花,right_relation_x_from_y_0.35,positive,True,True,81.22836067405149,70.0,,"0.0,0.0,0.0",,0.35,False,0.0,40,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手跳跃轨迹带轻微横向分量，垂直关系仍清晰。
花,right_relation_jitter_0.035,positive,True,True,79.77248489818234,70.0,,"0.0,0.0,0.0",,0.0,False,0.035,40,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手相对左手的逐帧关系有小幅抖动，模拟网页关键点不稳。
花,right_relation_y_amplitude_1.75_diagnostic,diagnostic,False,True,80.9251486819971,,,"0.0,0.0,0.0",1.75,0.0,False,0.0,40,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,更大相对运动高度只记录边界，不作为通过条件。
花,flower_relation_x_from_y_0.90_diagnostic,diagnostic,False,True,80.87746066332396,,,"0.0,0.0,0.0",,0.9,False,0.0,40,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,花不是双手关系核心词，强横向关系扰动只记录对右手开花主语义的边界。
